City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Qaqortoq,GL,60.7167,-46.0333,35.02,51,100,4.43,overcast clouds
159,Kodinar,IN,20.7903,70.7031,80.37,80,5,8.55,clear sky
160,Skibotn,NO,69.3913,20.2679,29.37,88,57,5.14,broken clouds
161,Olafsvik,IS,64.8945,-23.7142,38.68,74,100,15.08,overcast clouds
162,Xanxere,BR,-26.8769,-52.4042,69.91,55,100,3.24,overcast clouds
163,Buin,CL,-33.7333,-70.75,72.05,34,1,8.48,clear sky
164,Rayong,TH,12.8333,101.4333,86.79,99,17,5.1,few clouds
165,Sitka,US,57.0531,-135.33,37.29,75,0,0.0,clear sky
166,Kristiinankaupunki,FI,62.2743,21.376,37.2,83,100,18.68,overcast clouds
167,Kenai,US,60.5544,-151.2583,32.02,63,0,5.75,clear sky
168,Langarud,IR,37.197,50.1535,57.09,83,0,7.7,clear sky
169,Contamana,PE,-7.3333,-75.0167,77.13,86,100,2.04,overcast clouds
170,Benguela,AO,-12.5763,13.4055,77.04,86,46,4.79,light rain
171,Cherdyn,RU,60.403,56.4787,38.26,100,100,9.42,overcast clouds
172,Ratnagiri,IN,16.9833,73.3,81.09,83,96,3.83,overcast clouds
173,Ribeira Grande,PT,38.5167,-28.7,57.6,67,40,28.77,scattered clouds
174,Torbay,CA,47.6666,-52.7314,48.76,88,100,2.3,overcast clouds
175,Belmonte,BR,-15.8631,-38.8828,83.73,66,15,10.4,few clouds
176,Moose Factory,CA,51.2585,-80.6094,30.2,80,100,5.75,overcast clouds
177,Kautokeino,NO,69.0125,23.0412,31.64,96,73,18.39,snow
178,Longyearbyen,SJ,78.2186,15.6401,13.84,48,31,28.77,scattered clouds
179,Padang,ID,-0.9492,100.3543,78.85,86,100,2.46,light rain
180,Severo-Kurilsk,RU,50.6789,156.125,28.98,82,98,16.31,overcast clouds
181,Teya,RU,60.3778,92.6267,7.3,99,98,2.77,overcast clouds
182,Huaicheng,CN,23.9051,112.1931,68.56,56,0,1.1,clear sky
183,Kahului,US,20.8947,-156.47,76.84,74,40,11.5,scattered clouds
184,Lamar,US,33.6668,-95.5836,78.64,53,20,24.16,few clouds
185,Arman,RU,59.7,150.1667,-2.99,81,45,10.0,scattered clouds
186,Kavieng,PG,-2.5744,150.7967,81.64,78,100,10.45,overcast clouds
187,Narsaq,GL,60.9167,-46.05,39.42,43,100,1.86,overcast clouds
188,Drumheller,CA,51.4617,-112.7101,38.53,28,98,19.57,overcast clouds
189,Carutapera,BR,-1.195,-46.02,76.26,94,100,5.53,overcast clouds
190,Torrox,ES,36.7579,-3.9523,67.91,66,95,1.01,overcast clouds
191,Abu Samrah,SY,35.3029,37.1841,65.53,49,3,7.43,clear sky
192,Dhidhdhoo,MV,6.8833,73.1,85.1,70,74,11.7,broken clouds
193,Yellowknife,CA,62.456,-114.3525,13.41,74,40,19.57,scattered clouds
194,Lokosovo,RU,61.1333,74.8167,22.69,93,94,6.8,overcast clouds
